-3.158746584868489471e+00,-2.388963575532358607e+00
1.282519135538584987e+00,-1.233656849188594640e+00
-4.264346292588225396e+00,6.007021541068162662e-01
-1.766302286340062366e-01,2.014195222981400857e+00
-2.067656292855768019e+00,-1.787042607503333214e+00
4.017189243507369723e-01,5.548425992630442671e+00
2.624319625659169652e+00,-4.264576015877071136e+00
8.755560801985723174e+00,4.519220012482046300e+00
2.513168748695065791e+00,-7.009527506588134393e+00
-4.676390827652916471e-01,-2.381575068078784163e+00
-2.613749717682447127e+00,-6.557094987308483169e+00
-3.060072523395430011e+00,-1.294055456405708959e+00
-1.133253192159521472e+00,-5.313872405629151974e-01
2.212376838705235826e+00,1.950507042021010218e+00
-3.822437558100975963e+00,-5.080883267508254697e+00
# end_layer
